datetime,cloud_cover,estimated_irradiance,energy_kWh
2025-04-16 00:00:00+00:00,3.9,961.0,1.15216212
2025-04-16 06:00:00+00:00,1.6,984.0,1.1797372799999999
2025-04-16 12:00:00+00:00,38.3,617.0,0.73973364
2025-04-16 18:00:00+00:00,3.9,961.0,1.15216212
2025-04-17 00:00:00+00:00,6.2,938.0,1.12458696
2025-04-17 06:00:00+00:00,15.6,844.0,1.0118884799999999
2025-04-17 12:00:00+00:00,34.4,656.0,0.7864915199999998
2025-04-17 18:00:00+00:00,1.6,984.0,1.1797372799999999
2025-04-18 00:00:00+00:00,0.8,992.0,1.18932864
2025-04-18 06:00:00+00:00,11.7,883.0,1.05864636
2025-04-18 12:00:00+00:00,24.2,758.0,0.90878136
